Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Carnivoramorpha,Mustelidae,Lutra,palaeindica,NA,NA,NA,11.5,NA,NA,13.1,NA,NA,NA,Raghavan et al (2007) Estudios Geológicos 63 135-146,Reported value,NA,NA,NA,NA,Raghavan et al (2007) Estudios Geológicos 63 135-146,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Trochictis,artenensis,4,NA,NA,11.5,NA,NA,11.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ginsburg 2002 Annales de Paléontologie 88 115?146,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Dipsalidictis,krausei,NA,13.66,NA,11.5,10.7,NA,10.72,12.25,Not Present,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Catopuma,badia,NA,NA,2.5,11.5,NA,NA,8.8,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Akhnatenavus,nefertiticyon,NA,NA,NA,11.57,13.79,15.21,11.24,14.54,15.86,NA,Borths et al (2016) PeerJ 4 e2639,Reported mean,Borths et al (2016) PeerJ 4 e2639,Reported mean,Borths et al (2016) PeerJ 4 e2639,Reported mean,Borths et al (2016) PeerJ 4 e2639,Reported mean,Borths et al (2016) PeerJ 4 e2639,Reported mean,Borths et al (2016) PeerJ 4 e2639,Reported mean,NA,NA,Accepted
Carnivoramorpha,Ailuridae,Alopecocyon,leardi,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,Smith et al (2016) Acta Palaeontologica Polonica 61: 231-25,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Vishnuonyx,chinjiensis,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,Morales & Pickford (2005) Estudios Geológicos 61 271-284,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Arctonasua,floridana,10,NA,NA,11.6,NA,NA,14.9,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Leptocyon,matthewi,NA,NA,NA,11.69,NA,NA,13.09,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lutra,licenti,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,Van Zyll de Jong (1972) Royal Ontario Museum Life Sciences Division Contributions 80 1-104,Inferred based on figure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Martes,pennanti,NA,3.13,4,11.7,NA,NA,NA,NA,NA,NA,Samuels & Cavin (2013) Journal of Vertebrate Paleontology 33 448-454,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Metalopex,bakeri,NA,NA,NA,11.7,NA,NA,12.5,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Miocyon,vallisrubrae,NA,NA,NA,11.7,NA,NA,12.2,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,beihaiensis,NA,NA,NA,11.7,NA,NA,10.05,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Reported value,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Herpestidae,Atilax,paludinosus,NA,NA,3.3,11.8,NA,NA,NA,NA,NA,NA,Cohen et al (2019) Palaeontologia Africana 53 97-113,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Arctomeles,dimolodontus,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,Wallace & Wang (2004) Nature 431 556-559,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lontra,canadensis,NA,2.66,8.09,11.8,NA,NA,14,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,abdeslami,NA,NA,NA,11.9,NA,NA,15.55,NA,NA,NA,Geraads (1997) Geobios 30 127-164,Midpoint of range,NA,NA,NA,NA,Geraads (1997) Geobios 30 127-164,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Trigonictis,macrodon,NA,2.03,NA,11.9,NA,NA,13.6,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Pseudaelurus,guangheensis,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,Wang et al (1998) Vertebrata PalAsiatica 36 218-243,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ursus,americanus,NA,36.98,99.95,12,NA,NA,19,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ursavus,brevirhinus,80,14.47,NA,12,NA,NA,16.3,NA,NA,NA,Zhanxiang et al (2014) Vertebrate PalAsiatica 52 265-302,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Martes,wenzensis,NA,NA,NA,12,NA,NA,11,NA,NA,NA,Stach (1959) Acta Palaeontologlca Polonica 4 101-118,Reported value,NA,NA,NA,NA,Stach (1959) Acta Palaeontologlca Polonica 4 101-118,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Desmocyon,thomsoni,NA,7.5,NA,12.05,NA,NA,13.56,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Siamogale,thailandica,NA,NA,NA,12.08,NA,NA,16.04,NA,NA,NA,Grohe et al (2010) Naturwissenschaften 97 1003-1015,Reported mean,NA,NA,NA,NA,Grohe et al (2010) Naturwissenschaften 97 1003-1015,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Paludolutra,lluecai,NA,NA,NA,12.1,NA,NA,NA,NA,NA,NA,Villier et al (2011) Bollettino della Società Paleontologica Italiana 50 135-143,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Miacidae,Miocyon,scotti,NA,11.8,NA,12.1,NA,NA,14,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,praecorsac,NA,NA,NA,12.1,NA,NA,12.7,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Protictis,simpsoni,NA,2.61,NA,12.1,NA,NA,8.63,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Reported value,NA,NA,NA,NA,Meehan & Wilson (2002) Journal of Paleontology 76: 1091-1101,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,chikushanensis,NA,6.41,NA,12.15,NA,NA,13.25,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Leopardus,geoffroyi,NA,NA,3.59,12.2,NA,NA,10.2,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,lockwoodi,NA,NA,NA,12.3,NA,NA,NA,NA,NA,NA,Geraads et al (2010) Journal of Vertebrate Paleontology 30 981-987,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Lartetictis,dubia,11,NA,NA,12.3,NA,NA,14.75,NA,NA,NA,Grohe et al (2010) Naturwissenschaften 97 1003-1015,Reported value,NA,NA,NA,NA,Grohe et al (2010) Naturwissenschaften 97 1003-1015,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Goupilictis,minor,NA,NA,NA,12.3,NA,NA,13.85,NA,NA,NA,Bonis (2015) Journal of Vertebrate Paleontology e969401,Reported value,NA,NA,NA,NA,Bonis (2015) Journal of Vertebrate Paleontology e969401,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Hyanidae,Protictitherium,thessalonikensis,NA,NA,NA,12.3,NA,NA,11.4,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,Coca-Ortega & Pérez-Claros (2019) PeerJ 6 e6238,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Cynarctus,galushai,NA,10.67,NA,12.37,NA,NA,15.88,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,barryi,NA,NA,NA,12.4,NA,NA,14.1,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Dipsalidictis,transiens,NA,15.62,NA,12.4,11,NA,11.46,12.68,Not Present,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported mean,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Tyrrhenolutra,helbingi,NA,NA,NA,12.5,NA,NA,NA,NA,NA,NA,Villier et al (2011) Bollettino della Società Paleontologica Italiana 50 135-143,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ursavus,tedfordi,NA,NA,NA,12.5,NA,NA,19.5,NA,NA,NA,Zhanxiang et al (2014) Vertebrate PalAsiatica 52 265-302,Reported value,NA,NA,NA,NA,Zhanxiang et al (2014) Vertebrate PalAsiatica 52 265-302,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Mesocyon,temnodon,NA,7.67,NA,12.5,NA,NA,13.78,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Paralutra,garganensis,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,Lyras et al (2010) Journal of Biogeography 37 1007-1021,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Cyonarctos,dessei,NA,NA,NA,12.6,NA,NA,16.25,NA,NA,NA,Bonis (2012) Geodiversitas 35 787-814 ,Reported mean,NA,NA,NA,NA,Bonis (2012) Geodiversitas 35 787-814 ,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Civettictis,civetta,NA,NA,12,12.6,NA,NA,14.07,NA,NA,NA,Peigne et al (2008) Comptes Rendus Palevol 7 499-527,Reported mean,NA,NA,NA,NA,Peigne et al (2008) Comptes Rendus Palevol 7 499-527,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,montanus,NA,10.83,NA,12.7,11.52,17.88,9,12.4,16,39.1,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Reported value,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Midpoint of range,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Reported value,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Reported value,Accepted
Carnivoramorpha,Amphicynodontidae,Amphicticeps,makhchinus,NA,NA,NA,12.7,NA,NA,NA,NA,NA,NA,Wang et al (2005) American Museum Novitates 3483 1-57,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Oligobunis,crassivultus,NA,NA,NA,12.7,NA,NA,13.7,NA,NA,NA,Baskin (2017) Journal of Vertebrate Paleontology 37 e1293069,Reported value,NA,NA,NA,NA,Baskin (2017) Journal of Vertebrate Paleontology 37 e1293069,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Apterodon,langebadreae,NA,NA,NA,12.7,10.7,14.8,10.65,14.05,14.2,NA,Grohe et al (2012) PLoS One 7 e49054,Reported value,Grohe et al (2012) PLoS One 7 e49054,Reported value,Grohe et al (2012) PLoS One 7 e49054,Reported value,Grohe et al (2012) PLoS One 7 e49054,Midpoint of range,Grohe et al (2012) PLoS One 7 e49054,Midpoint of range,Grohe et al (2012) PLoS One 7 e49054,Reported value,NA,NA,Accepted
Carnivoramorpha,Canidae,Paracynarctus,kelloggi,NA,10.3,NA,12.72,NA,NA,14.95,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Civettictis,howelli,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA,Morales et al (2005) Revista de la Sociedad Geológia de España 18 39-61,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Zodiolestes,daimonelixensis,NA,NA,NA,12.8,NA,NA,11.2,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,"Janis et al (1998) Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Desmocyon,matthewi,NA,9.04,NA,12.83,NA,NA,14.83,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverravidae,Protictis,aprophatos,NA,NA,NA,12.86,NA,NA,NA,NA,NA,NA,Flynn & Galliano (1982) American Museum Novitates 2725 1-64,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Nyctereutes,megamastoides,20,20,NA,12.9,NA,NA,15.12,NA,NA,NA,Lucenti (2017) Rivista Italiana di Paleontologia e Stratigrafia 123 211-218,Reported value,NA,NA,NA,NA,Lucenti (2019) Acta Zoologica 100 211-215,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Viverra,zibetha,NA,NA,9.5,12.98,NA,NA,12.73,NA,NA,NA,Peigne et al (2008) Comptes Rendus Palevol 7 499-527,Reported mean,NA,NA,NA,NA,Peigne et al (2008) Comptes Rendus Palevol 7 499-527,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Musteloidea_not_assigned_to_family,Gaillardina,transitoria,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,Gaillard (1899) Archives du Muséum d'histoire naturelle de Lyon 7 1-77,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ursavus,primaevus,90,31.57,NA,13,NA,NA,19.8,NA,NA,NA,Zhanxiang et al (2014) Vertebrate PalAsiatica 52 265-302,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Cynelos,caroniavorus,71,15.6,NA,13,NA,NA,15,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,galaticus,8,NA,NA,13,NA,NA,11.8,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Eirictis,robusta,NA,NA,NA,13.1,NA,NA,16.7,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Reported value,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Iberictis,buloti,10.5,NA,NA,13.13,NA,NA,15.27,NA,NA,NA,Valenciano et al (2020) Journal of Mammalian Evolution 27 73-93,Midpoint of range,NA,NA,NA,NA,Valenciano et al (2020) Journal of Mammalian Evolution 27 73-93,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Oxyaena,simpsoni,NA,NA,NA,13.2,NA,NA,NA,NA,Not Present,NA,Van Valen (1966) Bulletin of the American Museum of Natural History 132 1-126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Pannonictis,pliocaenica,NA,NA,NA,13.2,NA,NA,15.35,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Reported value,NA,NA,NA,NA,"Qiu et al (2004) Palaeontologia Sinica, New Series C 191 1-198",Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Paraenhydrocyon,josephi,7,8.96,NA,13.24,NA,NA,14.57,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Vulpes,stenognathus,NA,7.79,NA,13.27,NA,NA,14.9,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Anasinopa,leakeyi,NA,NA,NA,13.3,12.3,14.2,12.3,14.3,16.05,41,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported mean,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported mean,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Reported value,Accepted
Carnivoramorpha,Mustelidae,Martes,occulta,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,Samuels & Cavin (2013) Journal of Vertebrate Paleontology 33 448-454,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Aonyx,capensis,NA,NA,19,13.3,NA,NA,18.3,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,Hendey (1974) Annals of the South African Museum 63 1-369,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Osbornodon,sesnoni,NA,9.66,NA,13.35,NA,NA,14.97,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,Wang (1994) Bulletin of the American Museum of Natural History 221 1-212,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Ursidae,Ursavus,sylvestris,NA,NA,NA,13.4,NA,NA,20.5,NA,NA,NA,Qiu & Qi (1990) Vertebrate PalAsiatica 28 270-283,Reported value,NA,NA,NA,NA,Qiu & Qi (1990) Vertebrate PalAsiatica 28 270-283,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Leopardus,tigrinus,NA,NA,2.25,13.4,NA,NA,10.2,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,vetus,NA,9.35,NA,13.45,11.7,19.83,10.01,10,14.9,NA,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Reported value,Gustafson (1986) Bulletin of the Texas Memorial Museum 33 1-66,Reported value,NA,NA,Accepted
Carnivoramorpha,Canidae,Psalidocyon,marianae,11,9.73,NA,13.5,NA,NA,15.38,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported value,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Metalopex,merriami,NA,NA,NA,13.5,NA,NA,14.55,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported value,NA,NA,NA,NA,Tedford et al (2009) Bulletin of the American Museum of Natural History 325:1-218,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Microtomarctus,conferta,NA,9.71,NA,13.56,NA,NA,15.46,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Oxyaenidae,Dipsalodon,churchillorum,NA,26.64,NA,13.6,NA,NA,12.5,12.1,Not Present,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Midpoint of range,NA,NA,NA,NA,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported value,"Gunnell & Gingerich (1991) Contributions from the Museum of Paleontology, The University of Michigan 28 141- 180",Reported value,NA,NA,NA,NA,Accepted
Carnivoramorpha,Felidae,Leopardus,amnicola,NA,NA,5,13.6,NA,NA,9.6,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Cynarctus,saxatilis,NA,12.33,NA,13.63,NA,NA,16.68,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
